user_query,cypher_exact_match,cypher_relevancy_score,cypher_correctness_score,execution_accuracy,answer_relevancy_score,answer_correctness_score,llm_cypher,llm_answer,error
List delayed ParcelPro shipments,False,1.0,0.3618358799079212,False,0.0,0.021671368094195412,"MATCH (s:Shipment {status: 'Delayed', carrier: 'ParcelPro'}) RETURN s.tracking_number",[],
Which San Francisco shipments haven't been dispatched?,False,0.3333333333333333,0.48482618166229885,False,1.0,0.12650416216896263,"MATCH (s:Shipment)-[:DISPATCHED_FROM]->(l:Location {name: 'San Francisco'})
WHERE NOT (s)-[:DISPATCHED_FROM]->()
RETURN s.tracking_number",[],
Show all Denver to Philadelphia shipments,False,1.0,0.7127214095904667,False,1.0,0.1151767460766826,MATCH (s:Shipment)-[:DISPATCHED_FROM]->(denver:Location {name: 'Denver'})-[:DELIVERED_TO]->(philadelphia:Location {name: 'Philadelphia'}) RETURN s.tracking_number,[],
When will Mona Patel's 4019 shipment arrive?,False,1.0,0.8180526887145012,False,1.0,0.5247722790128722,"MATCH (s:Shipment)-[:BELONGS_TO]->(c:Customer {name: 'Mona Patel'}) 
WHERE s.tracking_number = '4019' 
RETURN s.expected_delivery_date",[{'s.expected_delivery_date': '2024-06-08'}],
Find shipments without dispatch dates,,,,,,,,,"{code: Neo.ClientError.Statement.SyntaxError} {message: The property existence syntax `... exists(variable.property)` is no longer supported. Please use `variable.property IS NOT NULL` instead. (line 2, column 11 (offset: 29))
""WHERE NOT EXISTS(s.dispatch_date)""
           ^}"
List FastShip deliveries to Miami,False,1.0,0.4272774175815493,False,0.0,0.20151504514263427,MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location {name: 'Miami'})<-[:DISPATCHED_FROM]-(s)-[:ASSIGNED_TO]->(c:Courier {name: 'FastShip'}) RETURN s.tracking_number,[],
How many QuickMove shipments are pending?,,,,,,,,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'To': expected 'FOREACH', 'ALTER', 'ORDER BY', 'CALL', 'USING PERIODIC COMMIT', 'CREATE', 'LOAD CSV', 'START DATABASE', 'STOP DATABASE', 'DEALLOCATE', 'DELETE', 'DENY', 'DETACH', 'DROP', 'DRYRUN', 'FINISH', 'GRANT', 'INSERT', 'LIMIT', 'MATCH', 'MERGE', 'NODETACH', 'OFFSET', 'OPTIONAL', 'REALLOCATE', 'REMOVE', 'RENAME', 'RETURN', 'REVOKE', 'ENABLE SERVER', 'SET', 'SHOW', 'SKIP', 'TERMINATE', 'UNWIND', 'USE' or 'WITH' (line 1, column 1 (offset: 0))
""To find out how many QuickMove shipments are pending, you can use the following Cypher query:""
 ^}"
What's the oldest undelivered shipment?,False,1.0,0.5808688869946972,False,1.0,0.109687790096052,"MATCH (s:Shipment {status: 'Undelivered'})
RETURN s.tracking_number
ORDER BY s.dispatch_date ASC
LIMIT 1",[],
Show all routes from Minneapolis,,,,,,,,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'To': expected 'FOREACH', 'ALTER', 'ORDER BY', 'CALL', 'USING PERIODIC COMMIT', 'CREATE', 'LOAD CSV', 'START DATABASE', 'STOP DATABASE', 'DEALLOCATE', 'DELETE', 'DENY', 'DETACH', 'DROP', 'DRYRUN', 'FINISH', 'GRANT', 'INSERT', 'LIMIT', 'MATCH', 'MERGE', 'NODETACH', 'OFFSET', 'OPTIONAL', 'REALLOCATE', 'REMOVE', 'RENAME', 'RETURN', 'REVOKE', 'ENABLE SERVER', 'SET', 'SHOW', 'SKIP', 'TERMINATE', 'UNWIND', 'USE' or 'WITH' (line 1, column 1 (offset: 0))
""To show all routes from Minneapolis, you can use the following Cypher query:""
 ^}"
Which customers have shipments from San Francisco?,False,1.0,0.4467751928264946,False,0.0,0.035895943968849556,"MATCH (c:Customer)-[:BELONGS_TO]-(s:Shipment)-[:DISPATCHED_FROM]->(:Location {name: 'San Francisco'})
RETURN DISTINCT c.name as customer_name","[{'customer_name': 'Paula Green'}, {'customer_name': 'David Kim'}, {'customer_name': 'Carol Lee'}]",
"List shipments expected to arrive after June 1, 2024",True,1.0,1.0,False,1.0,0.7219951646288358,MATCH (s:Shipment) WHERE s.expected_delivery_date > '2024-06-01' RETURN s.tracking_number,"[{'s.tracking_number': '2595'}, {'s.tracking_number': '1072'}, {'s.tracking_number': '7731'}, {'s.tracking_number': '9897'}, {'s.tracking_number': '4000'}, {'s.tracking_number': '4003'}, {'s.tracking_number': '4006'}, {'s.tracking_number': '4007'}, {'s.tracking_number': '4009'}, {'s.tracking_number': '4019'}]",
Show all SwiftExpress shipments to Atlanta,False,1.0,0.6375504254231132,False,1.0,0.09800658872697102,MATCH (s:Shipment)-[:ASSIGNED_TO]->(c:Courier {name: 'SwiftExpress'})-[:BELONGS_TO]->(cust:Customer)-[:DELIVERED_TO]->(l:Location {name: 'Atlanta'}) RETURN s.tracking_number,[],
Find shipments delivered before their expected date,False,0.75,0.9914248744384067,False,1.0,0.7570880060558728,MATCH (s:Shipment) WHERE s.expected_delivery_date > s.delivery_date RETURN s.tracking_number,"[{'s.tracking_number': '1072'}, {'s.tracking_number': '9897'}, {'s.tracking_number': '4000'}, {'s.tracking_number': '4009'}, {'s.tracking_number': '4010'}, {'s.tracking_number': '4011'}, {'s.tracking_number': '4013'}, {'s.tracking_number': '4019'}]",
Which courier handled shipment 4013?,False,0.75,0.7987326491949895,False,1.0,0.6750233084971049,MATCH (s:Shipment {tracking_number: '4013'})-[:ASSIGNED_TO]->(courier:Courier) RETURN courier.name AS courier_handled,[{'courier_handled': 'FastShip'}],
List all locations that shipments are going to from New York,False,1.0,0.23008551601143967,False,0.0,0.04071764971968335,MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location {name: 'New York'}) RETURN DISTINCT l.name,[{'l.name': 'New York'}],
Show customers with pending shipments,False,1.0,0.27099198819001624,False,0.0,0.12965342207838373,MATCH (c:Customer)-[:BELONGS_TO]->(s:Shipment {status: 'Pending'}) RETURN c.name,[],
Find shipments dispatched from Chicago but not yet delivered,False,1.0,0.6871604591077836,False,1.0,0.17334830173837312,"MATCH (s:Shipment)-[:DISPATCHED_FROM]->(chicago:Location {name: 'Chicago'})
WHERE NOT (s)-[:DELIVERED_TO]->()
RETURN s.tracking_number as tracking_number",[],
Which shipments have missing delivery dates?,,,,,,,,,"{code: Neo.ClientError.Statement.SyntaxError} {message: The property existence syntax `... exists(variable.property)` is no longer supported. Please use `variable.property IS NOT NULL` instead. (line 2, column 11 (offset: 29))
""WHERE NOT exists(s.expected_delivery_date)""
           ^}"
Show customers with both delivered and pending shipments,False,1.0,0.40852023960744444,False,0.0,0.12399758977264733,"MATCH (c:Customer)-[:BELONGS_TO]->(s:Shipment)
WITH c, collect(DISTINCT s.status) AS statuses
WHERE 'Delivered' IN statuses AND 'Pending' IN statuses
RETURN c.name as customer_name",[],
List shipments that took more than 5 days to deliver,,,,,,,,,"{code: Neo.ClientError.Procedure.ProcedureCallFailed} {message: Invalid call signature for Between: Provided input was [String(""2024-05-25""), String(""2024-05-30"")]}"
Find shipments going from Miami to Boston,False,1.0,0.7702211726650867,False,0.0,0.05154513736208366,MATCH (s:Shipment)-[:DISPATCHED_FROM]->(miami:Location {name: 'Miami'})-[:DELIVERED_TO]->(boston:Location {name: 'Boston'}) RETURN s.tracking_number,[],
Show average delivery time for FastShip,,,,,,,,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'To': expected 'FOREACH', 'ALTER', 'ORDER BY', 'CALL', 'USING PERIODIC COMMIT', 'CREATE', 'LOAD CSV', 'START DATABASE', 'STOP DATABASE', 'DEALLOCATE', 'DELETE', 'DENY', 'DETACH', 'DROP', 'DRYRUN', 'FINISH', 'GRANT', 'INSERT', 'LIMIT', 'MATCH', 'MERGE', 'NODETACH', 'OFFSET', 'OPTIONAL', 'REALLOCATE', 'REMOVE', 'RENAME', 'RETURN', 'REVOKE', 'ENABLE SERVER', 'SET', 'SHOW', 'SKIP', 'TERMINATE', 'UNWIND', 'USE' or 'WITH' (line 1, column 1 (offset: 0))
""To show the average delivery time for shipments handled by FastShip, you can use the following Cypher query:""
 ^}"
Find shipments with conflicting status and dates,,,,,,,,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'To': expected 'FOREACH', 'ALTER', 'ORDER BY', 'CALL', 'USING PERIODIC COMMIT', 'CREATE', 'LOAD CSV', 'START DATABASE', 'STOP DATABASE', 'DEALLOCATE', 'DELETE', 'DENY', 'DETACH', 'DROP', 'DRYRUN', 'FINISH', 'GRANT', 'INSERT', 'LIMIT', 'MATCH', 'MERGE', 'NODETACH', 'OFFSET', 'OPTIONAL', 'REALLOCATE', 'REMOVE', 'RENAME', 'RETURN', 'REVOKE', 'ENABLE SERVER', 'SET', 'SHOW', 'SKIP', 'TERMINATE', 'UNWIND', 'USE' or 'WITH' (line 1, column 1 (offset: 0))
""To find shipments with conflicting status and dates, you can use the following Cypher query:""
 ^}"
Show most common shipment routes,,,,,,,,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'To': expected 'FOREACH', 'ALTER', 'ORDER BY', 'CALL', 'USING PERIODIC COMMIT', 'CREATE', 'LOAD CSV', 'START DATABASE', 'STOP DATABASE', 'DEALLOCATE', 'DELETE', 'DENY', 'DETACH', 'DROP', 'DRYRUN', 'FINISH', 'GRANT', 'INSERT', 'LIMIT', 'MATCH', 'MERGE', 'NODETACH', 'OFFSET', 'OPTIONAL', 'REALLOCATE', 'REMOVE', 'RENAME', 'RETURN', 'REVOKE', 'ENABLE SERVER', 'SET', 'SHOW', 'SKIP', 'TERMINATE', 'UNWIND', 'USE' or 'WITH' (line 1, column 1 (offset: 0))
""To show the most common shipment routes, you can use the following Cypher query:""
 ^}"
